Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Pink Short Power Walker,Cabin 7 > South Gate > East Lake Trail > Top-Rope/Trad > Backbone State Park > Iowa,https://www.mountainproject.com/route/125704858/pink-short-power-walker,4,-1,TR,5.1,1,35,42.60693,-91.53853
Spicy Onion,Onion Buttress > Top-Rope/Trad > Backbone State Park > Iowa,https://www.mountainproject.com/route/126654311/spicy-onion,4,-1,"Trad, TR",5.10a/b,1,40,42.61571,-91.56081
Yellow Peril: Free standing pillar,Chimney Rocks > Iowa,https://www.mountainproject.com/route/106673267/yellow-peril-free-standing-pillar,3,-1,Trad,5.8 R,1,40,43.4305,-91.9346
To Di For,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271185/to-di-for,2.3,-1,Sport,5.7,1,25,42.1989,-90.8615
Sword in the Stone,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/120694860/sword-in-the-stone,2.5,-1,Trad,5.7,1,25,42.1989,-90.8615
Bad to the Bone,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271146/bad-to-the-bone,2.3,-1,Sport,5.10a,1,30,42.1989,-90.8615
Happy Toes,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271203/happy-toes,3.3,-1,Sport,5.10a,1,25,42.1989,-90.8615
Bone Yard,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271207/bone-yard,3,-1,Sport,5.10a,1,40,42.1989,-90.8615
Blastoid,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271211/blastoid,3,-1,Sport,5.10a,1,40,42.1989,-90.8615
Big Muddy,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271219/big-muddy,2.9,-1,Sport,5.10a,1,35,42.1989,-90.8615
Power Surge,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271177/power-surge,2.6,-1,Sport,5.10b,1,30,42.1989,-90.8615
Blue Skies,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271181/blue-skies,2,-1,Sport,5.10c,1,25,42.1989,-90.8615
Liberal Tendencies,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271155/liberal-tendencies,3.6,-1,Sport,5.11a,1,30,42.1989,-90.8615
Deer Crossing,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271163/deer-crossing,3.1,-1,Sport,5.11b,1,30,42.1989,-90.8615
Turn to Stone,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271190/turn-to-stone,4,-1,Sport,5.11b,1,25,42.1989,-90.8615
Happy Hooking,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271173/happy-hooking,2.8,-1,Sport,5.11c,1,25,42.1989,-90.8615
Caution When Flashing,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271194/caution-when-flashing,2.7,-1,Sport,5.11d,1,30,42.1989,-90.8615
Today,Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/106271226/today,2.8,-1,Sport,5.11d,1,30,42.1989,-90.8615
Whippa Time,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109515232/whippa-time,3.5,-1,Sport,5.10d,1,40,42.19538,-90.8596
Aggregating Anenome,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/114444976/aggregating-anenome,3.6,-1,Sport,5.10d,1,60,42.19538,-90.8596
Bottomed Out,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109532030/bottomed-out,3.4,-1,Sport,5.11a,1,50,42.19538,-90.8596
Out of Touch,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109532100/out-of-touch,3,-1,Sport,5.11b,1,40,42.19538,-90.8596
Xenophobe,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109515261/xenophobe,2.5,-1,Sport,5.11b/c,1,40,42.19538,-90.8596
Night Skies,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109531932/night-skies,3.3,-1,Sport,5.11d,1,45,42.19538,-90.8596
The Yin,187 Crag > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/109532038/the-yin,3.8,-1,Sport,5.11d,1,50,42.19538,-90.8596
Testing 2,Toofun Wall > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/122108906/testing-2,4,-1,Sport,5.7,1,25,42.19693,-90.85873
Testing 5,Toofun Wall > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/122108964/testing-5,4,-1,Sport,5.1,1,30,42.19693,-90.85873
Booga Suga,Toofun Wall > Sport/Trad > Ozark Wildlife Area > Iowa,https://www.mountainproject.com/route/122108946/booga-suga,4,-1,Sport,5.11,1,30,42.19693,-90.85873
Unknown,Hatchery Buttress > Chuck Gipp Decorah Fish Hatchery Wall > Decorah > Iowa,https://www.mountainproject.com/route/124426801/unknown,4,-1,"Sport, TR",5.7,1,60,43.27338,-91.77697
Moss Rock,Mossy Glen > Iowa,https://www.mountainproject.com/route/122982345/moss-rock,4,-1,"Trad, TR",5.9-,1,35,42.70639,-91.42481
Ring Trilogy,Dows Preserve > Dows > Iowa,https://www.mountainproject.com/route/113690469/ring-trilogy,3.5,-1,Trad,5.7,1,40,41.902,-91.51687
Melanie,Dows Preserve > Dows > Iowa,https://www.mountainproject.com/route/120696436/melanie,4,-1,"Trad, TR",5.7,1,30,41.902,-91.51687
Melania,Dows Preserve > Dows > Iowa,https://www.mountainproject.com/route/120696494/melania,3,-1,"Trad, TR",5.10- R,1,30,41.902,-91.51687
Grab My Leg,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019265/grab-my-leg,3,-1,"TR, Boulder",5.8 V1-,1,25,41.73342,-91.24771
Spiral Fracture,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019358/spiral-fracture,4,-1,"TR, Boulder",5.10 V2,1,40,41.73342,-91.24771
Lithographic,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019451/lithographic,4,-1,"TR, Boulder",5.10 V2-3,1,25,41.73342,-91.24771
Off the Couch,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019502/off-the-couch,4,-1,"TR, Boulder",5.10 V1+,1,20,41.73342,-91.24771
Grab the Bull by the Horn,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019612/grab-the-bull-by-the-horn,3,-1,"TR, Boulder",5.10 V2,1,25,41.73342,-91.24771
Mono e Mono,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019654/mono-e-mono,4,-1,"TR, Boulder",5.10 V3-4,1,25,41.73342,-91.24771
Lip Service,Cedar Valley Boulder > Iowa,https://www.mountainproject.com/route/123019744/lip-service,4,-1,"TR, Boulder",5.10 V3,1,25,41.73342,-91.24771
